,Time,Hexagon,Buckets,Radius,Device,Percentage
387,Lunch,8843a0222bfffff,1,5.0,Apple,0.0
388,Lunch,8843a0222bfffff,1,5.0,Samsung,0.0
389,Lunch,8843a0222bfffff,1,5.0,Combined,0.0
390,Lunch,88424d3a4dfffff,14,0.01,Apple,0.14285714285714285
391,Lunch,88424d3a4dfffff,14,0.01,Samsung,0.5
392,Lunch,88424d3a4dfffff,14,0.01,Combined,0.5714285714285714
393,Lunch,88424d3a4dfffff,14,0.1,Apple,0.5
394,Lunch,88424d3a4dfffff,14,0.1,Samsung,0.7857142857142857
395,Lunch,88424d3a4dfffff,14,0.1,Combined,0.8571428571428571
396,Lunch,88424d3a4dfffff,14,0.5,Apple,0.5714285714285714
397,Lunch,88424d3a4dfffff,14,0.5,Samsung,0.7857142857142857
398,Lunch,88424d3a4dfffff,14,0.5,Combined,0.8571428571428571
399,Lunch,88424d3a4dfffff,14,1.0,Apple,0.5714285714285714
400,Lunch,88424d3a4dfffff,14,1.0,Samsung,0.7857142857142857
401,Lunch,88424d3a4dfffff,14,1.0,Combined,0.8571428571428571
402,Lunch,88424d3a4dfffff,14,5.0,Apple,0.5714285714285714
403,Lunch,88424d3a4dfffff,14,5.0,Samsung,0.7857142857142857
404,Lunch,88424d3a4dfffff,14,5.0,Combined,0.8571428571428571
405,Lunch,881f99db41fffff,36,0.01,Apple,0.1111111111111111
406,Lunch,881f99db41fffff,36,0.01,Samsung,0.4722222222222222
407,Lunch,881f99db41fffff,36,0.01,Combined,0.5833333333333334
408,Lunch,881f99db41fffff,36,0.1,Apple,0.5833333333333334
409,Lunch,881f99db41fffff,36,0.1,Samsung,0.8888888888888888
410,Lunch,881f99db41fffff,36,0.1,Combined,0.9166666666666666
411,Lunch,881f99db41fffff,36,0.5,Apple,0.6111111111111112
412,Lunch,881f99db41fffff,36,0.5,Samsung,0.8888888888888888
413,Lunch,881f99db41fffff,36,0.5,Combined,0.9166666666666666
414,Lunch,881f99db41fffff,36,1.0,Apple,0.6111111111111112
415,Lunch,881f99db41fffff,36,1.0,Samsung,0.8888888888888888
416,Lunch,881f99db41fffff,36,1.0,Combined,0.9166666666666666
417,Lunch,881f99db41fffff,36,5.0,Apple,0.6111111111111112
418,Lunch,881f99db41fffff,36,5.0,Samsung,0.8888888888888888
419,Lunch,881f99db41fffff,36,5.0,Combined,0.9166666666666666
420,Lunch,881f985b11fffff,12,0.01,Apple,0.0
421,Lunch,881f985b11fffff,12,0.01,Samsung,0.0
422,Lunch,881f985b11fffff,12,0.01,Combined,0.0
423,Lunch,881f985b11fffff,12,0.1,Apple,0.25
424,Lunch,881f985b11fffff,12,0.1,Samsung,0.0
425,Lunch,881f985b11fffff,12,0.1,Combined,0.25
426,Lunch,881f985b11fffff,12,0.5,Apple,0.25
427,Lunch,881f985b11fffff,12,0.5,Samsung,0.0
428,Lunch,881f985b11fffff,12,0.5,Combined,0.25
429,Lunch,881f985b11fffff,12,1.0,Apple,0.25
430,Lunch,881f985b11fffff,12,1.0,Samsung,0.0
431,Lunch,881f985b11fffff,12,1.0,Combined,0.25
432,Lunch,881f985b11fffff,12,5.0,Apple,0.25
433,Lunch,881f985b11fffff,12,5.0,Samsung,0.0
434,Lunch,881f985b11fffff,12,5.0,Combined,0.25
435,Lunch,881f98402dfffff,5,0.01,Apple,0.4
436,Lunch,881f98402dfffff,5,0.01,Samsung,0.0
437,Lunch,881f98402dfffff,5,0.01,Combined,0.4
